Genes log2FoldChange
IGF2BP2 2.99008972944809
NSF 1.20919854597977
GLI2 2.08677948362259
NOTCH3 2.81499413040623
PPP2R2C 5.54461456427486
TEAD2 2.18704924122334
c(\EED\, \MIR6755\) 1.27866559728212
CDHR2 -1.28116126818827
CA12 3.55098949276723
BCS1L 1.05412183849608
NUAK1 1.59990296302223
ZNF532 1.77988164446117
ENO1 1.19862872804354
SLC12A1 3.48674915204163
MYDGF 1.07282432801671
ANO8 1.19540688086247
TUBE1 -1.18667833579848
WSCD2 1.37942515093787
TACR2 1.39497519669284
TIPIN 1.13577442531501
SRI 1.03845177778782
NUP37 1.54923579824998
SEMA3A 2.35653441694482
GTSE1 4.37209040134861
SEMA3C 1.33524998577908
CELSR1 1.51484010234661
SLC25A40 1.02971283576671
ADD2 1.45228180281389
FGF4 6.36348142684251
RASAL2 1.46138880601176
CACNG4 4.74819253089029
FSCN1 1.15497725983439
ATP12A 2.77354994682227
WDR62 3.34673927925168
SEC31B 1.17278954205864
TUBA3D 2.07817738525391
PAX2 3.07379953237767
KIFAP3 1.12669197921998
MCM6 2.4938661996319
BAZ2A 1.20325855886586
PTPN23 1.22223060284343
SLC46A1 1.30180861136213
PLXNA2 1.35806288320204
SPAG5 2.12641840677967
TPD52 1.1058842361346
PAG1 1.04338137678544
GPATCH1 1.33241492413084
c(\MCAM\, \MIR6756\) 2.09782532922615
GPC4 1.46346660646587
RAP1GAP 1.53103752722187
c(\ARHGEF1\, \LOC100505585\) 1.08080318805361
NMRK2 3.21592838699688
DGKD 1.30626909953327
CTTNBP2 1.1443575088601
ACTL6B 2.38121432563666
NFKB2 1.31564974080928
UBE2T 3.94730206932346
DNAJC10 1.31788493129698
PAK3 2.72272643686554
CAPN6 1.8708741182383
DCX 2.7932709555408
SNRPA 1.44880297289898
SPAG6 3.77391105147122
EXOSC5 1.32621195279275
SIRT6 1.2945404130035
POLD3 1.31958081699829
ACTN2 5.30979320477002
NAALAD2 1.39253881055833
SLC25A43 1.14809556898047
UBE2A 1.30459272461403
FKBP6 1.41725111178451
SMC1B 4.88498594372759
FBLN1 2.31908508022122
ITGA8 1.00045091587284
MAP2 2.15143576876325
FAP 3.19376023814641
TULP3 1.4261813438063
SYNJ2 1.23933928154717
c(\HOXA9\, \MIR196B\) 3.34534855538329
FGF20 3.0098123939344
ITM2A 1.31090473458773
CBFA2T2 1.92694842049297
MYH7B 2.83300805431049
BPIFB2 5.59214036443954
TP73 3.58752936286571
CLUL1 2.1701826677708
CDH17 3.79494835318217
THOC1 1.1491723672056
SLC1A3 1.8370837766417
SP140 1.20838982687412
RAPGEF3 1.43512257047267
SENP1 1.16824601123866
DUSP13 6.47733006874401
CIC 1.14495184477506
LIPE 1.63524247260387
PAFAH1B3 2.71912247173761
OPHN1 1.59159662619267
AFM -1.39114493566388
KIF22 1.26466762238683
SCGN 2.90719827253481
CARMIL1 1.1531766360294
MOXD1 1.33294708149
DDX43 1.2887317513
EPHA6 2.74093647279591
SCTR 2.99264709874171
RFX3 1.104893316573
RDH8 6.0994829064817
MID2 1.00262319197251
COL5A3 1.9411659457941
SRCAP 1.08969782988165
CHRNA3 4.17344874605788
KCNN2 -2.82627745710238
MOK 1.15187992053667
HSP90AA1 1.09913612773982
RBL1 2.04444143329542
DLGAP4 1.30564337487892
IGSF9B 1.49519350941513
CROCCP3 1.4765570889396
NDC80 4.10322036918673
AFP 7.69608592748499
TCF7 1.54082614623328
CDH7 3.9483547341823
IMPG2 1.82461212323097
CACNA1S 3.64614944233031
LRP2 1.83279622006933
ZNF506 1.3506594936073
JMJD4 1.40627140195166
DUSP12 1.61577802313154
AACS 1.76011151790365
PCDHB4 1.05326872215937
HSPB11 1.2147564727879
ATP8B1 1.21975655066199
IL12RB2 1.10529265528382
SMARCD3 2.06249725594404
WDR70 1.12535366426413
C1QTNF3 4.67197093111445
DLG3 1.40725771456578
KCNK2 3.04460304618709
SERTAD4 2.64133893069954
TRAF5 2.2238444929819
OPRK1 3.88059084435707
