Genes log2FoldChange
ALX4 6.13703835926625
FSTL4 6.12780537406918
METTL24 1.95395512909121
MRTO4 1.26390272492908
MCF2L2 3.5854958322392
NRIP2 2.08725832467939
LAMA3 4.38725688841033
ANAPC4 1.95882892179393
KCNQ1 4.51642833196978
TRAPPC3 1.41740619916969
THRAP3 1.1743019856447
PHPT1 1.74068544557129
ENTPD2 4.09898824927775
LY75 2.71852060740891
ARID4B 2.2114877171086
SDCCAG8 2.57807176963086
PTPRN 5.38873667284882
HHAT 1.90523295063652
FOXC1 3.87865589165336
TBC1D22A 1.98392043779199
SYNE2 2.28617051278419
PLEKHH1 2.27066097102299
ATP9A 2.36595468876804
FAM168A 1.77389781797399
RELT 2.69007297928538
GALC 1.44715645933015
NOP58 1.83374365258717
SZRD1 1.29378617456897
KCNH2 4.74528892207521
CYFIP2 1.77436918926071
EIF2AK2 2.02167176307585
USP36 1.95978558648888
KMT2C 1.20965190082048
MCOLN3 5.53708061534088
CCDC85A 2.33044247842348
PUM2 1.27805916660793
MRPL43 1.22199831403771
ITIH4 -4.14157441056764
ITIH1 -5.04337260571212
HPF1 1.02409662476057
ZFR 1.6776442316943
ZNF280C 1.92636645647573
PHF21B 4.19859948990522
TRAF1 2.66425160966575
RC3H2 1.108637084894
TRAF3IP2 1.81901172885649
GYG2 -1.23864031631913
DCBLD2 2.00726731018168
SOAT1 2.14947060541126
MSH4 3.4372498606362
F7 -2.56642056997045
PRDM1 1.67439130561357
c(\TMCC3\, \MIR7844\) 1.24130316819877
MTA3 2.54474249655981
ATP11B 1.38765227272226
LAMC2 6.78820282864502
CDK14 1.7338086392074
SEC61A1 1.57422407201466
PPP1R12A 2.0076985600123
RASGRF1 4.32760094754553
CAMK2B -1.73339659724772
CROCC 2.01991199007944
c(\POLR3E\, \LOC101060521\) 1.47360221277763
ATP2B4 1.98588665711567
ZC3H11A 1.77725024925365
RIOK2 1.25907797303652
YIPF1 1.21512260659142
NDC1 2.05110236065178
DGKG 2.42817247793288
FLYWCH1 2.03986159233855
UNKL 1.85964292317029
TBXAS1 1.47145093610989
PARP12 1.79526720266872
ALDH18A1 1.64214718105712
TARBP1 2.87439327304726
MXD1 1.75211395925883
CDK17 1.26510668629308
DNAJC25 -1.62199665531949
SLC2A3 2.0134123683084
PSD 1.42502380718486
CTDP1 1.40902914343883
YBX3 3.34909368206745
STYK1 4.85986246828449
WNK1 1.32351479358133
CCAR1 2.07101418021978
GNA15 2.47521095404822
CREB3L3 -2.68528396392335
PTPRU 1.96271555016642
SNRNP40 1.4830001334256
COL11A1 4.61210972571567
QSER1 2.13382048022531
MPC1 -1.68078976897194
ACAA1 -2.38839729309905
BCAT1 3.65313763597463
HDAC7 3.65998317168621
LZTS1 3.1597123511793
PRDM6 2.69523934285739
SPAG4 2.03092268209398
NCKAP1 1.93638212856837
MRPS35 1.08198028648146
GUCY1B3 2.31059214158684
SFSWAP 2.16051656577795
TNK2 1.10946273082734
CDH3 6.93818247422095
ARSF -3.29914803250586
GPBP1 1.67609358936766
DGAT2 -3.37387597184602
ZNF112 2.61386975546995
CS 2.60053311805725
ELMO2 1.46766359289002
WAPL 1.80327090095743
c(\VMP1\, \MIR21\) 2.04721608559749
APPBP2 1.45340231681396
POLD1 2.27158151238554
SEZ6 6.64463262892828
EIF4B 1.59628108171202
GLTSCR1 1.67693550284574
RPL18 1.77552957651745
CA11 2.94073371827235
U2AF2 1.79893565620771
EPN1 1.00558014032093
MED29 1.36237299719557
AHRR 2.61531973830769
MTMR1 1.93615707291691
GPC1 1.15873981101212
ADCK1 1.25258124469339
HAGH -1.48529021614178
RNF4 2.05476937422706
CASP8 1.97281530966425
LIMCH1 2.59819429652223
ASUN 1.79782263671419
TM7SF3 1.50965006467942
DLX3 4.93418347228602
SPA17 3.57615964765625
ST3GAL6 -1.81667600101875
ATP2C2 4.90668485040459
CDON 2.14990561956767
TAF2 1.55127356716494
TNPO3 1.41810594164395
c(\BORCS8-MEF2B\, \BORCS8\) 1.84856478699072
RFXANK 2.53809960487605
TMEM161A 1.03268689695102
LPAR2 4.57213834899805
CTSA 1.60917807985448
SUGP2 2.10078458266572
SLC12A2 4.6651242089358
SNX24 1.84558241689354
CNN2 1.86483238052919
ABCA7 2.38210789719056
SNCAIP 1.95198344546738
DDX20 1.8914769530018
BTBD1 1.62471106140193
FAR2 2.60800405365091
BCAS1 4.08885104289878
CHI3L2 3.89225844815472
SBNO2 2.23440947006423
PMS1 1.59509446187848
HMG20B 1.53947518104945
CALCRL 1.17136456005963
TAF11 1.49181738961393
ANKS1A 1.55538958191319
AP3D1 1.79399515672143
ZNF76 1.46293744346454
SLC9A3R2 -1.37716165194197
UHRF1BP1 2.09614545582533
c(\GNAI3\, \MIR197\) 1.75626173118657
IPO5 1.60604098785712
WDR3 1.68679950858054
PKN2 1.31048605049781
MCM10 5.04986155092287
DGKA 3.21094541046445
ERBB3 2.68625529141777
ANKRD44 1.69999902375012
KARS 1.69302908108695
ADAT1 1.86664414723189
TBC1D22B 2.50239368431003
NDUFB4 1.06929019865038
SPEN 1.08280068623876
ZC3H15 1.22906062005019
TMEM206 3.17688623380662
SNAP91 8.38937795637801
SLK 1.51349671731892
CYB5R4 1.61159518491371
c(\COL17A1\, \MIR936\) 9.21868317177244
GSTO2 2.45811480127942
PRKCQ 2.45012809004773
TLE2 1.76331275557854
ASB1 2.16474157834712
TBC1D1 1.27494547472772
CDK13 1.31352482281286
MTHFD2 3.66622327472474
SLC9A7 2.42146294469941
FOXJ2 2.09979996009807
YBX1 1.45114440877623
PDE4A 3.41249725500389
ELAVL1 1.49574140747324
DIP2B 1.52353721498955
SMARCD1 2.39295829886199
KDM4A 1.65845755668101
NFYC 1.30240897325703
SLC9A3 4.63559074943174
NGEF 1.43585550949939
ASPM 4.30482263777136
c(\ELOVL1\, \MIR6734\) 2.73745799045311
ZNRD1 1.62536004934326
MPPED2 1.28859682697546
CLDN18 9.98877510729874
ZBTB11 1.25621324368287
ATXN3 1.03466453147566
FGFR2 1.94337566761936
ISOC1 -1.07422521237384
EML1 1.84613179750471
THUMPD1 1.60219010459389
MSANTD3 2.14589246557823
ARFGEF1 1.8502195355243
ACSM2B -4.02279225858359
ZFAT 2.17305916419013
STAG3 1.61915380802518
MYO9A 1.55275404415533
PFKP 5.55229845889695
SP100 1.28739591924555
NEO1 3.18685493333998
TRAM1 1.6277260158696
PHKA1 1.91925377576791
CACNB1 3.87677715194549
STOML1 1.33434912267198
PKM 5.4906983996162
DHX29 1.44464021359826
DNTTIP2 1.6691410370236
METTL22 1.50491812574603
TP53BP1 2.80395802397105
TRO -1.17096755604479
RRP15 2.10260153766642
RHOA 1.3200951270288
DHX8 1.89604565119656
PRKCZ 1.02287522319045
IARS2 1.38182244805191
NAV3 2.02313532387421
IDH3G 1.62143260548555
ROGDI 1.24090177419156
ROCK1 1.46637967111826
CBFB 2.14817621876926
HYAL2 1.1790893364642
HDAC4 2.67001950423193
RASSF1 1.41657119176396
FGFR3 2.78899737748699
IFI35 1.60327525338339
HEATR6 2.31063898646172
COASY 1.18448398446897
PLEKHH3 1.57204707306303
OTUD5 1.3618806128314
TFE3 1.64683573825741
TBC1D25 1.86665284771436
ACSL4 2.15126791959501
INPP5A 1.05197285840365
GPKOW 1.46804007953211
GRIPAP1 1.43180500887492
FTSJ1 2.27757739636083
PRR11 4.54901753857084
REEP1 2.89465003242131
ATP11A 2.70093875455407
POLR1A 2.35899209482439
LAPTM4A 1.13222406032826
TTC7A 2.08761969509336
IP6K2 1.57766275591807
STON1-GTF2A1L 1.55103147337394
SRBD1 1.15682350998211
KIF2A 2.51153449438919
IFT80 3.1449369975923
ERLEC1 1.57223031617855
PPP2R5B 1.5901047974305
PYGM 1.30731102245684
PITX1 6.56858530210279
TRPC7 4.52592154515738
MAST4 1.42106816769657
SDK2 2.56037659589087
NUP133 2.11052130010716
NUCKS1 1.22035908168958
VPS35 2.0665573544812
ABCC9 -2.92526328681446
GAL 3.92959600785414
CLEC2D 2.32478575536237
FUNDC1 2.29666193552322
DRD4 2.13664173190285
KIAA1107 1.75501564758078
PLA2G10 5.41871820046887
HES2 5.5175398457851
ATP1B3 3.76201840352095
PIGB 1.52358353456263
GNB5 1.76966578834692
UFD1L 1.5405372465896
GUCY2C 2.48265432474457
SCT 2.16467425161046
PHRF1 1.19468304984249
c(\NUCB2\, \LOC105376575\) 1.08342467458596
c(\SPTB\, \MIR7855\) 2.58194334670286
DAPP1 2.59909497989154
TMEM260 1.62985294702143
SMG6 1.81466109793349
FGF22 1.47563120484236
FSTL3 3.07526198280191
DGCR2 2.41019403446028
MNT 2.29915911563517
ZXDC 1.06249778365063
JMJD6 1.77119303130321
POLB 1.06470000786729
ST6GALNAC1 3.44570436452645
WIPI1 1.95319485748772
FRMPD1 3.29221551738592
GBA2 1.66050077669091
NDST1 1.70707326941345
ASNS 4.70416261724878
AP3M2 3.30195179656531
CNGB1 7.23361046158572
ST6GALNAC2 2.03942056250991
c(\PABPC1\, \MIR7705\) 1.95749308049529
CSNK2A2 1.52352701395099
CAMK2A 3.73454131952942
TCOF1 2.84249435030998
CDC42 1.19406461279697
OSBPL3 4.27857916857699
